Afrique du Sud;26/2/2012:12h10;#TruthSunday;#ThingsPeopleHaveToStopDoing;Carling Cup Final;#YNWA;Madiba's;Oscars;Top Billing;Sunday Times;Wembley;India
Australie;26/2/2012:12h10;#ThingsPeopleHaveToStopDoing;#1DPickUpLines;#respillsongs;R.I.P Rowan Atkinson;Australia Misses Justin;Ben Roberts-Smith;Jennifer's Body;Tony Mokbel;Carling Cup;SCG
Brésil;26/2/2012:12h10;#QueroQueOMundoSeAcabeEm;Frank Edgar;#sdds;#ThingsPeopleHaveToStopDoing;Fabio Cardoso You da One;TwitterVerifiedAccountMelFronckowiak;Bendo;Ben Henderson;RickBonadioEscutePreface;EsperaremosAteMarçoPeloCDLuan
Canada;26/2/2012:12h10;#ThingsPeopleHaveToStopDoing;#Blackmomscatchphrase;#WhiteMomsCatchPhrase;RIP Rowan Atkinson;Mr. Bean;Benson Henderson;Bendo;Frankie Edgar;Weezy F. Baby and the F;eBay
Colombie;26/2/2012:12h10;#UFC144;#LibroQueEstoyLeyendo;#PremiosIndiaCatalina;Margarita Rosa de Francisco;Correo de Inocentes;Angie Cepeda;Sebastian Vega;Baloto;J Balvin;Neiva
Espagne;26/2/2012:12h10;#OpEuribor;#SpriteSlam;#TeEchanDeMisa;Jeremy Evans;Villarreal - Athletic;Milagros Pérez Oliva;Abel Kirui;Feliz Domingo;Juegos Europeos;El Madrigal
États-Unis;26/2/2012:12h10;#ThingsPeopleHaveToStopDoing;#Blackmomscatchphrase;#DontBotherTalkingToMe;Wide Awake;Denny's;Australia;IHOP;God's;Cali;Netflix
France;26/2/2012:12h10;#ThingsPeopleHaveToStopDoing;#WeMissSHINee;Jeremy Evans;#SpriteSlam;The Voice;Galaxy Tab 2;Tony Parker;Jean Dujardin;Aulas;Los Angeles
Inde;26/2/2012:12h10;#ThingsPeopleHaveToStopDoing;#SCG;#IndvsAus;Bret Lee;RIP Rowan Atkinson;Shane Watson;David Hussey;Umesh Yadav;Aussies;Sehwag
Italie;26/2/2012:12h10;#oggimimanca;#ThingsPeopleHaveToStopDoing;#Marni;Milan-Juve;The Artist;Conte;Mexes;Galliani;Pinterest;Android
Monde;26/2/2012:12h10;R.I.P Rowan Atkinson;#ThingsPeopleHaveToStopDoing;#WeMissSHINee;#1DPickUpLines;Subscribe To Uncompelable;Australia Misses Justin;Erland Josephson;Big Big Day;İsa Gök;Reesh
Nigéria;26/2/2012:12h10;Sonia;#YouKnowShesTheOne;#IfChuckNorrisWasACUStudent;#WiseWordsToLiveBy;Weezy F. Baby and the F;Davido;Juve;Nelson Mandela;Wande Coal;Thou
Pays-Bas;26/2/2012:12h10;#ExcAja;#arstot;#psvFEY;Excelsior - Ajax;Arsenal-Tottenham;Woudestein;Tirol;Johnny Cash;Oscars;Dank
Pérou;26/2/2012:12h10;#ThingsPeopleHaveToStopDoing;#LibroQueEstoyLeyendo;Ráfaga;#meemocionocomoLucero;Spirit Awards;The Artist;Saywa;Oscar;Viña;Ica
Philippines;26/2/2012:12h10;R.I.P Rowan Atkinson;#ToniGonzagaASAPTHEBUZZPBB;#ThingsPeopleHaveToStopDoing;#whyihashtag;Al Galang;PPJump JuliElmo;WildCardForWENDY;Mr. Bean;Frankie Edgar;Khalil Ramos
République Dominicaine;26/2/2012:12h10;#SiTeDoyAmores;#spriteslam;#enlamadrugada;Jeremy Evans;Paul George;NBA;Santiago;Gracias Dios;Sii;Amen
Royaume Uni;26/2/2012:12h10;R.I.P Rowan Atkinson;#ThingsPeopleHaveToStopDoing;#1DPickUpLines;#GoBuySkyscraperUK;Subscribe To Uncompelable;The Ting Tings;Reesh;James Delingpole;Atomic Kitten;Sunday Sun
Singapour;26/2/2012:12h10;#ThingsPeopleHaveToStopDoing;RIP Rowan Atkinson;#1DPickUpLines;#WeMissSHINee;Aan Triangle;Zayn Malik;Mr Bean;Onew;Inkigayo;SHINee
Suède;26/2/2012:12h10;Erland Josephson;#ThingsPeopleHaveToStopDoing;Johnny Cash;Låter;#1DPickUpLines;Härligt;Nordkorea;#nymo;Oscarsgalan;När
Turquie;26/2/2012:12h10;İsa Gök;#SpriteSlam;#CHPDemokrasiSoleni;#lutfen;CHP Kurultayı;Galip Öztürk;Adnan Keskin;Jeremy Evans;Metro Turizm;Murat Aksu
